Output for Apriori algorithm C++ program

Item     Frequency              Support
asparagus              1               0.0133316%
almonds         153             2.03973%
antioxydant juice               67              0.893214%
asparagus               35              0.466604%
avocado         250             3.33289%
babies food             34              0.453273%
bacon           65              0.866551%
barbecue sauce          81              1.07986%
black tea               107             1.42648%
blueberries             69              0.919877%
body spray              86              1.14651%
bramble         14              0.186642%
brownies                253             3.37288%
bug spray               65              0.866551%
burger sauce            44              0.586588%
burgers         654             8.71884%
butter          226             3.01293%
cake            608             8.10559%
candy bars              73              0.973204%
carrots         115             1.53313%
cauliflower             36              0.479936%
cereals         193             2.57299%
champagne               351             4.67938%
chicken         450             5.9992%
chili           46              0.613252%
chocolate               1230            16.3978%
chocolate bread         32              0.42661%
chutney         31              0.413278%
cider           79              1.05319%
clothes accessories             63              0.839888%
cookies         603             8.03893%
cooking oil             383             5.10599%
corn            36              0.479936%
cottage cheese          239             3.18624%
cream           7               0.0933209%
dessert wine            33              0.439941%
eggplant                99              1.31982%
eggs            1348            17.9709%
energy bar              203             2.70631%
energy drink            200             2.66631%
escalope                595             7.93228%
extra dark chocolate            90              1.19984%
flax seed               68              0.906546%
french fries            1282            17.0911%
french wine             169             2.25303%
fresh bread             323             4.30609%
fresh tuna              167             2.22637%
fromage blanc           102             1.35982%
frozen smoothie         475             6.33249%
frozen vegetables               715             9.53206%
gluten free bar         52              0.693241%
grated cheese           393             5.2393%
green beans             65              0.866551%
green grapes            68              0.906546%
green tea               991             13.2116%
ground beef             737             9.82536%
gums            101             1.34649%
ham             203             2.70631%
hand protein bar                39              0.519931%
herb & pepper           371             4.94601%
honey           356             4.74603%
hot dogs                243             3.23957%
ketchup         33              0.439941%
light cream             117             1.55979%
light mayo              204             2.71964%
low fat yogurt          574             7.65231%
magazines               82              1.09319%
mashed potato           31              0.413278%
mayonnaise              46              0.613252%
meatballs               157             2.09305%
melons          90              1.19984%
milk            972             12.9583%
mineral water           1788            23.8368%
mint            131             1.74643%
mint green tea          42              0.559925%
muffins         181             2.41301%
mushroom cream sauce            143             1.90641%
napkins         5               0.0666578%
nonfat milk             78              1.03986%
oatmeal         33              0.439941%
oil             173             2.30636%
olive oil               494             6.58579%
pancakes                713             9.5054%
parmesan cheese         149             1.9864%
pasta           118             1.57312%
pepper          199             2.65298%
pet food                49              0.653246%
pickles         45              0.59992%
protein bar             139             1.85309%
red wine                211             2.81296%
rice            141             1.87975%
salad           37              0.493268%
salmon          319             4.25277%
salt            69              0.919877%
sandwich                34              0.453273%
shallot         58              0.77323%
shampoo         37              0.493268%
shrimp          536             7.14571%
soda            47              0.626583%
soup            379             5.05266%
spaghetti               1306            17.411%
sparkling water         47              0.626583%
spinach         53              0.706572%
strawberries            160             2.13305%
strong cheese           58              0.77323%
tea             29              0.386615%
tomato juice            228             3.03959%
tomato sauce            106             1.41314%
tomatoes                513             6.83909%
toothpaste              61              0.813225%
turkey          469             6.2525%
vegetables mix          193             2.57299%
water spray             3               0.0399947%
white wine              124             1.65311%
whole weat flour                70              0.933209%
whole wheat pasta               221             2.94627%
whole wheat rice                439             5.85255%
yams            86              1.14651%
yogurt cake             205             2.73297%
zucchini                71              0.94654%
Removing all items below given support


Item     Frequency              Support
burgers         654             8.71884%
cake            608             8.10559%
champagne               351             4.67938%
chicken         450             5.9992%
chocolate               1230            16.3978%
cookies         603             8.03893%
cooking oil             383             5.10599%
eggs            1348            17.9709%
escalope                595             7.93228%
french fries            1282            17.0911%
fresh bread             323             4.30609%
frozen smoothie         475             6.33249%
frozen vegetables               715             9.53206%
grated cheese           393             5.2393%
green tea               991             13.2116%
ground beef             737             9.82536%
herb & pepper           371             4.94601%
honey           356             4.74603%
low fat yogurt          574             7.65231%
milk            972             12.9583%
mineral water           1788            23.8368%
olive oil               494             6.58579%
pancakes                713             9.5054%
salmon          319             4.25277%
shrimp          536             7.14571%
soup            379             5.05266%
spaghetti               1306            17.411%
tomatoes                513             6.83909%
turkey          469             6.2525%
whole wheat rice                439             5.85255%
Item    Frequency               Support
burgers cake    86              1.14651%
burgers champagne       29              0.386615%
burgers chicken         47              0.626583%
burgers chocolate       128             1.70644%
burgers cookies         42              0.559925%
burgers cooking oil     43              0.573257%
burgers eggs    216             2.87962%
burgers escalope        53              0.706572%
burgers french fries    165             2.19971%
burgers fresh bread     30              0.399947%
burgers frozen smoothie         54              0.719904%
burgers frozen vegetables       79              1.05319%
burgers grated cheese   41              0.546594%
burgers green tea       131             1.74643%
burgers ground beef     90              1.19984%
burgers herb & pepper   31              0.413278%
burgers honey   47              0.626583%
burgers low fat yogurt  50              0.666578%
burgers milk    134             1.78643%
burgers mineral water   183             2.43967%
burgers olive oil       48              0.639915%
burgers pancakes        79              1.05319%
burgers salmon  34              0.453273%
burgers shrimp  66              0.879883%
burgers soup    47              0.626583%
burgers spaghetti       161             2.14638%
burgers tomatoes        62              0.826556%
burgers turkey  80              1.06652%
burgers whole wheat rice        67              0.893214%
cake champagne  16              0.213305%
cake chicken    49              0.653246%
cake chocolate  102             1.35982%
cake cookies    30              0.399947%
cake cooking oil        37              0.493268%
cake eggs       143             1.90641%
cake escalope   31              0.413278%
cake french fries       134             1.78643%
cake fresh bread        33              0.439941%
cake frozen smoothie    48              0.639915%
cake frozen vegetables  77              1.02653%
cake grated cheese      36              0.479936%
cake green tea  106             1.41314%
cake ground beef        61              0.813225%
cake herb & pepper      34              0.453273%
cake honey      33              0.439941%
cake low fat yogurt     52              0.693241%
cake milk       100             1.33316%
cake mineral water      206             2.7463%
cake olive oil  49              0.653246%
cake pancakes   89              1.18651%
cake salmon     28              0.373284%
cake shrimp     57              0.759899%
cake soup       46              0.613252%
cake spaghetti  136             1.81309%
cake tomatoes   63              0.839888%
cake turkey     52              0.693241%
cake whole wheat rice   58              0.77323%
champagne chicken       19              0.2533%
champagne chocolate     87              1.15985%
champagne cookies       28              0.373284%
champagne cooking oil   13              0.17331%
champagne eggs  50              0.666578%
champagne escalope      30              0.399947%
champagne french fries  70              0.933209%
champagne fresh bread   20              0.266631%
champagne frozen smoothie       35              0.466604%
champagne frozen vegetables     36              0.479936%
